"idactivity","name","level","parent","description"
102,Protein binding,2,84,A molecule that bind with protein
47,Chaperone,2,96,Molecule involved in the folding or unfolding of protein molecules.
35,Biosynthesis,2,96,Involved in the biological synthesis of molecules
83,Microbial growth,2,96,Related to microbial growth processes.
55,Cancer cell,2,96,Cells with an abnormal cell division that can lead to cancer disease
85,Mollicute,2,96,Peptides from or related to Mollicutes 
87,Mammallian cell,2,96,Cells isolated or derived from mammal tissue
91,Nematode,2,96,Peptides from or related to nematodes
96,Other activity,1,0,Other activities not included in the categorization
101,Precipitation processes,2,96,Involved in the precipitation processes of molecules
110,Sexual/reproduction regulation,2,96,"It includes molecules, organs and hormones that regulate reproductive processes."
37,Blood processes,4,107,"Involved in the regulation of blood processes (synthesis, transport, among others)"
38,Bone processes,4,107,"Involved in bone processes (osteogenic, modulation, among others)"
49,Chromatine assembly,4,107,Participates in the chromatin assembly process during DNA replication
50,Coagulation or anticoagulation,4,107,Related to coagulation processes in the blood or their inhibition.
64,Dna replication,4,107,Involved in DNA replication processes
69,Gene expression and translation,4,107,Involved in gene expression and translation processes
70,Growth factor,4,107,A molecule that stimulates cell growth and sometimes cell differentiation.
71,Homeostasis,4,107,"Participates in homeostasis processes, which allow the organism to self-regulate."
86,Muscle processes,4,107,"Participates in the regulation of muscular processes (signaling, contraction, among others)."
100,Plant processes,4,107,Molecule involved in plant processes regulation
112,Signal transduction,4,107,Involved in the regulatory processes of signal transduction
117,Transcription processes,4,107,Molecule involved in transcription processes
41,Blood-brain barrier crossing,2,66,Able to cross the blood-brain barrier
58,Cell-penetrating,2,66,Amino acid sequence able to cross cell membranes
66,Drug delivery vehicle,1,0,Carrier that helps a drug to reach its therapeutic target
43,Cell aggregation,2,108,It participates in the union and adhesion of cells to form an aggregate.
56,Cell sensing,2,108,"Activities related to cell detection mechanisms, such as quorum sensing, chemotactic movement, cell-to-cell communication, among others"
57,Cell-cell communication,2,108,Communication between cells
59,Chemotactic,2,108,Able to mobilize organisms using chemical concentrations
65,Defense,2,108,Response mechanism against foreign substances or organisms
99,Pheromone,2,108,A molecule secreted to trigger a social response among members of the same species.
106,Quorum sensing,2,108,Regulates gene expression for cell population regulation
108,Sensorial,1,0,Related to cell sensing
61,Diabetic,4,71,"Related to the disease diabetes, which causes an increase in blood sugar."
62,Diuresis,5,71,"Related to diuresis processes, which consist of an increase in urine flow as a consequence of a metabolic factor. "
89,Natriuretic,5,71,"A peptide that induces natriuresis, which is related to the discharge of sodium in the urine."
120,Uricemic,5,71,Related to uricemic processes
121,Vascular,5,71,Related to vascular processes in blood and lymphatic vessels. 
68,Enzyme inhibitor,4,67,Molecule that binds to an enzyme in order to decrease its activity
105,Proteolytic,4,67,Activity related to the breakdown of proteins into peptides or aminoacids.
74,Hemolytic,4,54,Rupture of red blood cells
95,Opioid,4,97,A substance derived from opium that can be used for the treatment of pain or to produce sleep. 
104,Propeptide,1,0,Precursor with no biological activity
109,Sexual/reproduction,4,72,Hormones related to maturation or sexual activity.
111,Signal peptide,1,0,Used as post translational modification or translocation
115,Taste & saliva,4,33,Molecule present in saliva or related to taste and its processes.
124,Wound healing,3,77,Useful for immunomodulation and wound healing
125,Inflamatory modulator,2,88, 
